abbr,name,fips,tot_cases,new_cases07,tot_death,new_deaths07,Update_Date
AK,Alaska,02,280767,879,1304,0,2022-09-12
AL,Alabama,01,1508308,8385,20288,3,2022-09-12
AR,Arkansas,05,941464,5053,11961,28,2022-09-12
AZ,Arizona,04,2258040,3666,31162,48,2022-09-12
CA,California,06,11155889,46663,94558,319,2022-09-12
CO,Colorado,08,1639422,3248,13207,30,2022-09-12
CT,Connecticut,09,881594,3771,11299,30,2022-09-12
DC,District of Columbia,11,166893,419,1382,0,2022-09-12
DE,Delaware,10,304393,1197,3080,10,2022-09-12
FL,Florida,12,7075348,26917,80562,65,2022-09-12
GA,Georgia,13,2883318,12689,39875,103,2022-09-12
GU,Guam,66,58269,234,394,4,2022-09-12
HI,Hawaii,15,332278,1183,1643,11,2022-09-12
IA,Iowa,19,848811,4248,9968,28,2022-09-12
ID,Idaho,16,491564,1561,5131,13,2022-09-12
IL,Illinois,17,3716318,19933,39445,75,2022-09-12
IN,Indiana,18,1908325,8772,24549,66,2022-09-12
KS,Kansas,20,868911,4550,9027,8,2022-09-12
KY,Kentucky,21,1556660,9925,16822,65,2022-09-12
LA,Louisiana,22,1442885,7517,17923,38,2022-09-12
MA,Massachusetts,25,2021331,7339,21536,73,2022-09-12
MD,Maryland,24,1233088,6391,15257,51,2022-09-12
ME,Maine,23,284881,1268,2551,38,2022-09-12
MI,Michigan,26,2786213,15854,38121,83,2022-09-12
MN,Minnesota,27,1645653,6440,13509,38,2022-09-12
MO,Missouri,29,1628318,9327,21375,40,2022-09-12
MS,Mississippi,28,918874,5825,12821,27,2022-09-12
MT,Montana,30,306709,1148,3509,7,2022-09-12
NC,North Carolina,37,3143078,3338,26366,1,2022-09-12
ND,North Dakota,38,266273,963,2354,0,2022-09-12
NE,Nebraska,31,533046,2121,4488,33,2022-09-12
NH,New Hampshire,33,345985,1162,2671,9,2022-09-12
NJ,New Jersey,34,2698100,13017,34627,44,2022-09-12
NM,New Mexico,35,613896,1750,8483,14,2022-09-12
NV,Nevada,32,844029,1493,11426,15,2022-09-12
OH,Ohio,39,3096557,21731,39576,86,2022-09-12
OK,Oklahoma,40,1184662,7381,14765,21,2022-09-12
OR,Oregon,41,883368,3728,8471,44,2022-09-12
PA,Pennsylvania,42,3202811,16909,46831,115,2022-09-12
RI,Rhode Island,44,399742,1480,3652,7,2022-09-12
SC,South Carolina,45,1687640,921,18299,0,2022-09-12
SD,South Dakota,46,258510,963,3002,9,2022-09-12
TN,Tennessee,47,2316764,8211,27537,16,2022-09-12
TX,Texas,48,7791507,41408,88811,135,2022-09-12
UT,Utah,49,1032129,2370,4989,8,2022-09-12
VA,Virginia,51,2060595,12399,21611,132,2022-09-12
VT,Vermont,50,130745,469,681,7,2022-09-12
WA,Washington,53,1793565,4425,14122,56,2022-09-12
WI,Wisconsin,55,1843251,7835,15120,29,2022-09-12
WV,West Virginia,54,590441,5670,7322,28,2022-09-12
WY,Wyoming,56,175290,462,1884,3,2022-09-12
NY,New York,36,6023020,26023,70625,147,2022-09-12
